date,value,^DJI,^IXIC,^N225
2025-11-10,177.56300354003906,47368.62890625,23527.169921875,50911.76171875
2025-11-11,178.1439971923828,47927.9609375,23468.30078125,50842.9296875
2025-11-12,178.52699279785156,48254.8203125,23406.4609375,51063.30859375
2025-11-13,179.33799743652344,47457.21875,22870.359375,51281.828125
2025-11-14,179.83200073242188,47147.48046875,22900.58984375,50376.53125
2025-11-17,179.5489959716797,46590.23828125,22708.0703125,50323.91015625
2025-11-18,179.96499633789062,46091.73828125,22432.849609375,48702.98046875
2025-11-19,180.13299560546875,46138.76953125,22564.23046875,48537.69921875
2025-11-20,,,,49823.94140625
2025-11-21,-0.0155902004454342,,,
